,project name,class count,training set count,roboflow url
part number,partnumber-jzh7a,1,399,https://universe.roboflow.com/seiji/partnumber-jzh7a/dataset/2
football,futbol-players,3,114,https://universe.roboflow.com/ilyes-talbi-ptwsp/futbol-players/dataset/7
teeth,fornt-intraoral-tooth-numbering,33,882,https://universe.roboflow.com/dentalmate6v/fornt-intraoral-tooth-numbering/dataset/1
grocery store,complan,41,4177,https://universe.roboflow.com/zymtctcomplan/complan/dataset/1
rock paper scissors,rock-paper-scissors-sxsw,3,6455,https://universe.roboflow.com/roboflow-58fyf/rock-paper-scissors-sxsw/dataset/14
go-positions,go-positions,3,2100,https://universe.roboflow.com/synthetic-data-3ol2y/go-positions/dataset/6
car types,cartypes-x9dwd,10,697,https://universe.roboflow.com/rock-elm/cartypes-x9dwd/dataset/5
hazard signs,ppe5-zgtue,43,8370,https://universe.roboflow.com/ppe5/ppe5-zgtue/dataset/2
car-dent,car_dent_scratch_detection-1,17,2311,https://universe.roboflow.com/sindhu/car_dent_scratch_detection-1/dataset/9
hard hat uni,hard-hat-universe-0dy7t,5,4912,https://universe.roboflow.com/universe-datasets/hard-hat-universe-0dy7t/dataset/26
aerial-cars,aerial-cars,4,321,https://universe.roboflow.com/pian-jiangfeng-gmail-com/aerial-cars/dataset/3
rockets,rocket-detect,3,24435,https://universe.roboflow.com/nasaspaceflight/rocket-detect/dataset/37
tesla,tesi,5,6996,https://universe.roboflow.com/cv-2022-kyjj6/tesi/dataset/3
playing cards,playing-cards-ow27d,52,21203,https://universe.roboflow.com/augmented-startups/playing-cards-ow27d/dataset/4
People in painting,people-in-paintings,1,634,https://universe.roboflow.com/roboflow-100/people-in-paintings/dataset/2
Resistors,resistor-detection-5azes,3,1596,https://universe.roboflow.com/circuits-project/resistor-detection-5azes/dataset/5
garage dataset,garage,5,700,https://universe.roboflow.com/egge-public/garage/dataset/4
bodywash,bodywash,31,1893,https://universe.roboflow.com/newbodywash/bodywash/dataset/1
chess,merge_chess,12,18141,https://universe.roboflow.com/chduck/merge_chess/dataset/1
face-detection,face-detection-mik1i,1,3672,https://universe.roboflow.com/mohamed-traore-2ekkp/face-detection-mik1i/dataset/24
forklift,forklift-1,1,842,https://universe.roboflow.com/phantom/forklift-1/dataset/5
helipad,helipad-rhzfn,1,3695,https://universe.roboflow.com/playgroung/helipad-rhzfn/dataset/5
carbike,car-bike-detection-5a9j5,2,6936,https://universe.roboflow.com/2tech/car-bike-detection-5a9j5/dataset/2
toyota,yarisx-2,30,1742,https://universe.roboflow.com/edu-p2-dpnm6/yarisx-2/dataset/1
frc,frc-2024-tlxdn,2,6510,https://universe.roboflow.com/michael-jansen/frc-2024-tlxdn/dataset/4
Fall detection,fall-detection-ca3o8,1,9438,https://universe.roboflow.com/roboflow-universe-projects/fall-detection-ca3o8/dataset/4
rock-climbing,rock-climbing,8,50,https://universe.roboflow.com/university-of-maine/rock-climbing/dataset/56
construction,construction-safety-aszln,29,1792,https://universe.roboflow.com/ale-isjyl/construction-safety-aszln/dataset/3
thermal,thermal-dogs-and-people,2,142,https://universe.roboflow.com/joseph-nelson/thermal-dogs-and-people/dataset/6
cows,cow-lie-stand-walk,3,3946,https://universe.roboflow.com/rev-tvsjf/cow-lie-stand-walk/dataset/2
rocket-league,rocket-league-mncrp,2,607,https://universe.roboflow.com/rocket-league/rocket-league-mncrp/dataset/1
clouds,cloud-types,4,3528,https://universe.roboflow.com/roboflow-100/cloud-types/dataset/2
parking-lot,parking-lot-wketa,2,108,https://universe.roboflow.com/bouakkaz144-lotfi-gmail-com/parking-lot-wketa/dataset/5
mri,detect-mark-ver2.0-qrrye,2,2634,https://universe.roboflow.com/namdp2810-gmail-com/detect-mark-ver2.0-qrrye/dataset/7
uno-deck,uno-deck,15,6295,https://universe.roboflow.com/roboflow-100/uno-deck/dataset/2
