                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5719,                 2.5826,                 1.2209,                 1.5557,                 3.7369,                 1.1248,                0.74866,                0.39021,                0.43467,                0.24485,                 1.3901,                 1.5334,                 1.1501,                 1.4642,                 2.7355,                 1.1214,             0.00036913,             0.00036913,             0.00036913
                      2,                 1.4178,                 1.4131,                  1.174,                 1.4819,                 2.0402,                 1.1179,                 0.7883,                0.46333,                0.49728,                 0.3026,                 1.3548,                 1.2105,                 1.1497,                 1.3939,                 1.6093,                 1.1095,             0.00073214,             0.00073214,             0.00073214
                      3,                 1.3839,                 1.1803,                 1.1808,                 1.4707,                 1.4382,                 1.1319,                0.81694,                0.49562,                0.53563,                 0.3266,                 1.3214,                 1.0602,                 1.1676,                 1.3844,                 1.2226,                 1.1114,              0.0010878,              0.0010878,              0.0010878
                      4,                 1.3656,                 1.0866,                 1.1772,                 1.4722,                 1.2512,                 1.1339,                0.83311,                 0.4993,                 0.5475,                0.33769,                 1.3128,                0.94373,                 1.1717,                  1.375,                 1.0233,                  1.118,               0.001078,               0.001078,               0.001078
                      5,                 1.3422,                 1.0128,                 1.1688,                 1.4526,                 1.1492,                 1.1275,                 0.8399,                0.51169,                0.55476,                0.34048,                 1.3091,                0.90918,                 1.1797,                 1.3699,                 0.9889,                 1.1464,               0.001078,               0.001078,               0.001078
                      6,                 1.3345,                0.98013,                 1.1727,                 1.4515,                 1.1032,                 1.1312,                0.86159,                0.51112,                0.56254,                0.34761,                 1.2784,                0.86602,                 1.1525,                 1.3782,                0.91969,                  1.117,               0.001067,               0.001067,               0.001067
                      7,                 1.3343,                 0.9545,                 1.1616,                 1.4453,                 1.0728,                 1.1213,                0.83868,                0.50716,                0.55913,                0.34513,                 1.3013,                0.86687,                 1.1699,                 1.3697,                0.95743,                 1.1222,               0.001056,               0.001056,               0.001056
                      8,                 1.3137,                0.92758,                 1.1606,                 1.4305,                 1.0336,                 1.1222,                0.87635,                0.51124,                0.57802,                 0.3626,                 1.2742,                0.82918,                 1.1497,                 1.3571,                0.87564,                 1.1126,               0.001045,               0.001045,               0.001045
                      9,                 1.3128,                0.91752,                 1.1539,                 1.4331,                 1.0294,                 1.1163,                0.85625,                0.51797,                 0.5742,                0.35684,                 1.2698,                0.83486,                 1.1632,                 1.3534,                0.86488,                 1.1308,               0.001034,               0.001034,               0.001034
                     10,                 1.3114,                0.92037,                 1.1552,                 1.4363,                 1.0272,                  1.116,                0.87309,                 0.5183,                0.58684,                0.36991,                 1.2572,                0.80371,                 1.1471,                 1.3483,                0.83398,                 1.1113,               0.001023,               0.001023,               0.001023
                     11,                 1.3007,                0.89785,                 1.1474,                 1.4233,                0.99618,                 1.1088,                0.88317,                0.51331,                0.58463,                0.36668,                 1.2757,                0.80802,                 1.1577,                 1.3655,                0.80639,                 1.1157,               0.001012,               0.001012,               0.001012
                     12,                 1.2937,                 0.8865,                 1.1434,                 1.4216,                 0.9758,                 1.1094,                0.87337,                0.52311,                0.58572,                0.37092,                 1.2682,                0.80584,                 1.1457,                 1.3432,                0.81008,                 1.1033,               0.001001,               0.001001,               0.001001
                     13,                  1.295,                0.88633,                 1.1447,                 1.4172,                0.97052,                 1.1108,                0.86975,                0.53466,                0.59031,                0.37555,                 1.2553,                0.79299,                 1.1477,                 1.3315,                0.80033,                 1.1131,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.2887,                0.87873,                 1.1413,                 1.4082,                0.96528,                 1.1033,                0.89181,                0.53232,                0.59548,                0.37799,                 1.2542,                0.80262,                 1.1478,                 1.3285,                0.82758,                 1.1082,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.2927,                0.87819,                  1.144,                  1.416,                0.95631,                 1.1104,                0.87842,                0.53636,                0.59662,                0.37709,                 1.2432,                0.78033,                  1.143,                 1.3299,                 0.7949,                 1.1011,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.2863,                0.86473,                 1.1352,                 1.4071,                0.93642,                 1.1034,                0.89127,                0.54217,                0.60296,                0.37934,                 1.2635,                0.77771,                 1.1462,                 1.3543,                0.77713,                 1.1185,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.2758,                0.85773,                 1.1372,                 1.4006,                0.92871,                 1.1042,                0.87521,                0.54522,                0.60164,                 0.3814,                   1.24,                0.75579,                 1.1363,                 1.3336,                0.77164,                 1.1084,             0.00094602,             0.00094602,             0.00094602
                     18,                  1.276,                0.85843,                 1.1352,                 1.4018,                0.92693,                 1.0987,                0.88489,                0.53998,                0.60255,                0.38372,                 1.2412,                 0.7617,                 1.1357,                 1.3318,                0.76596,                 1.0941,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.2839,                0.86632,                 1.1397,                 1.4101,                0.94035,                 1.1041,                0.87942,                0.54496,                0.59435,                0.37644,                 1.2465,                 0.7718,                 1.1445,                 1.3359,                0.78001,                 1.1173,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.2741,                0.85472,                 1.1312,                 1.3992,                0.91497,                 1.1003,                0.88968,                0.54198,                0.59993,                 0.3795,                 1.2448,                0.77171,                 1.1345,                 1.3444,                0.76238,                 1.1096,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.2738,                0.85334,                 1.1334,                 1.3999,                0.91877,                 1.1034,                 0.8919,                0.54301,                0.60042,                  0.378,                  1.242,                0.76359,                 1.1349,                 1.3333,                0.76039,                  1.107,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.2729,                0.84608,                 1.1297,                 1.3918,                0.90508,                 1.0983,                0.55329,                0.53717,                0.60065,                0.38239,                 1.2426,                0.76551,                 1.1373,                 1.3306,                0.75043,                 1.1028,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.2616,                0.83518,                  1.126,                 1.3767,                0.89285,                 1.0906,                 0.8989,                 0.5378,                0.61141,                0.39128,                 1.2373,                0.74862,                  1.128,                 1.3247,                0.72473,                 1.0891,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.2671,                0.84088,                 1.1221,                 1.3871,                0.89455,                 1.0871,                0.89787,                0.54347,                0.60413,                0.38832,                 1.2383,                 0.7451,                 1.1264,                 1.3238,                0.72123,                 1.0932,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.2609,                0.83146,                 1.1233,                 1.3777,                  0.885,                 1.0933,                0.89581,                0.54478,                0.60333,                0.38848,                 1.2386,                0.74862,                 1.1295,                 1.3218,                0.73567,                 1.1038,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.2579,                0.83006,                 1.1211,                 1.3779,                0.88202,                 1.0896,                0.90586,                0.54273,                0.60896,                 0.3879,                 1.2277,                0.75677,                 1.1302,                 1.3187,                 0.7376,                 1.0922,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.2572,                0.82615,                 1.1192,                 1.3849,                0.87006,                 1.0892,                0.89054,                0.55847,                0.61076,                0.39051,                 1.2339,                0.73959,                 1.1288,                 1.3202,                0.71966,                 1.0982,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.2539,                0.82218,                 1.1164,                 1.3784,                0.86965,                 1.0879,                0.59155,                0.58724,                0.61294,                 0.3904,                 1.2282,                0.75071,                 1.1256,                 1.3192,                0.71887,                 1.0969,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.2588,                0.82635,                 1.1205,                  1.382,                0.87161,                 1.0935,                0.90059,                0.55248,                0.61012,                0.39173,                 1.2219,                0.73684,                  1.127,                 1.3183,                0.70132,                 1.0933,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.2619,                0.83213,                 1.1216,                   1.38,                0.87517,                 1.0913,                0.57278,                0.54344,                0.60616,                0.38421,                  1.238,                0.74483,                 1.1332,                 1.3306,                0.71505,                 1.0975,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.2553,                0.82376,                 1.1163,                 1.3745,                0.87111,                 1.0865,                0.90557,                0.54093,                0.60695,                0.38976,                 1.2197,                0.74905,                 1.1261,                 1.3218,                0.71789,                 1.0962,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.2418,                0.81569,                 1.1107,                 1.3645,                0.86434,                 1.0799,                0.90577,                0.55008,                0.61409,                0.39466,                 1.2319,                0.73563,                 1.1249,                 1.3163,                0.70551,                 1.0944,             0.00078103,             0.00078103,             0.00078103
