                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3704,                 1.6299,                 1.1079,                 1.3812,                 2.9489,                 1.0359,                0.83292,                0.49618,                0.54403,                0.34789,                 1.2874,                 1.0301,                 1.1047,                 1.2895,                 2.3274,                  1.051,             0.00036913,             0.00036913,             0.00036913
                      2,                 1.3027,                 1.0187,                 1.0945,                 1.3761,                 1.6909,                 1.0644,                0.87629,                0.52291,                0.57016,                0.36385,                 1.2899,                 0.8938,                 1.1123,                  1.321,                 1.3642,                 1.1046,             0.00073214,             0.00073214,             0.00073214
                      3,                 1.2861,                0.89627,                 1.0975,                 1.3827,                 1.1947,                 1.0873,                0.87875,                0.54108,                  0.588,                 0.3726,                 1.2705,                0.80902,                 1.1199,                 1.3311,                      1,                 1.1239,              0.0010878,              0.0010878,              0.0010878
                      4,                 1.2894,                0.83707,                 1.1032,                 1.3889,                 1.0212,                 1.1032,                0.91215,                0.55299,                0.60856,                0.38998,                 1.2464,                0.74095,                 1.1001,                 1.3055,                0.83471,                 1.1179,               0.001078,               0.001078,               0.001078
                      5,                 1.2563,                0.78172,                 1.0911,                  1.359,                0.91764,                 1.0947,                0.91428,                0.55447,                 0.6124,                 0.3989,                 1.2366,                0.70281,                  1.107,                 1.2991,                0.77886,                 1.1149,               0.001078,               0.001078,               0.001078
                      6,                 1.2436,                0.75979,                 1.0946,                 1.3593,                0.86408,                 1.0973,                0.91471,                0.56266,                0.61638,                0.39707,                 1.2399,                0.69027,                 1.1111,                 1.3009,                0.75434,                 1.1124,               0.001067,               0.001067,               0.001067
                      7,                 1.2357,                0.72985,                 1.0842,                 1.3471,                0.82004,                 1.0869,                0.92951,                0.57209,                 0.6207,                0.39615,                 1.2274,                0.66466,                 1.1051,                 1.2932,                 0.6972,                 1.1116,               0.001056,               0.001056,               0.001056
                      8,                 1.2141,                0.70213,                 1.0776,                 1.3236,                 0.7769,                 1.0837,                 0.9217,                 0.5806,                0.62272,                0.40278,                  1.217,                0.65585,                 1.1047,                 1.2898,                0.67554,                 1.1233,               0.001045,               0.001045,               0.001045
                      9,                 1.2192,                0.70811,                 1.0849,                 1.3361,                0.77973,                 1.0928,                0.93047,                0.58076,                0.62617,                0.40832,                 1.1943,                0.62565,                 1.0984,                 1.2549,                0.62879,                 1.1034,               0.001034,               0.001034,               0.001034
                     10,                 1.2086,                0.69695,                 1.0728,                 1.3256,                0.76295,                 1.0815,                0.93069,                0.58991,                0.62967,                0.41518,                 1.2047,                0.62324,                 1.1015,                 1.2643,                0.63386,                 1.1087,               0.001023,               0.001023,               0.001023
