                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0522,                 3.3091,                 3.1576,                 2.8911,                 5.2906,                 3.0041,                0.63309,                0.27402,                0.26072,                0.12575,                 1.9687,                 2.3093,                 2.0177,                 1.7897,                 2.7414,                 1.8435,             0.00036913,             0.00036913,             0.00036913
                      2,                 1.7884,                 1.4512,                 1.7251,                 1.8817,                 1.8284,                 1.6535,                0.81577,                0.42191,                 0.4628,                0.27053,                 1.5017,                  1.164,                 1.5626,                 1.5456,                 1.4398,                 1.5608,             0.00072482,             0.00072482,             0.00072482
                      3,                 1.5452,                 1.0973,                 1.4802,                 1.6922,                 1.3786,                 1.4827,                0.86689,                0.47581,                0.53813,                0.30443,                 1.5073,                  1.006,                 1.5601,                 1.5686,                 1.3237,                 1.5607,              0.0010658,              0.0010658,              0.0010658
                      4,                 1.4634,                0.97656,                 1.4104,                 1.6096,                 1.2182,                 1.4131,                0.88513,                0.52076,                0.57572,                  0.367,                 1.3209,                0.84586,                 1.3949,                 1.3848,                0.94484,                  1.401,               0.001045,               0.001045,               0.001045
                      5,                 1.3817,                0.88121,                 1.3581,                 1.5288,                  1.067,                 1.3653,                0.87729,                0.53904,                0.58729,                0.37359,                 1.2947,                0.80268,                 1.3634,                 1.3536,                0.90614,                 1.3573,               0.001045,               0.001045,               0.001045
                      6,                 1.3451,                0.84901,                 1.3343,                 1.4908,                 1.0126,                 1.3435,                0.90066,                0.54151,                0.59602,                0.37855,                  1.308,                0.76664,                 1.3683,                 1.3648,                0.82136,                 1.3788,               0.001023,               0.001023,               0.001023
                      7,                 1.3253,                0.80536,                 1.3068,                   1.47,                0.95878,                  1.313,                0.91325,                0.54081,                0.59912,                0.36893,                 1.3115,                0.74575,                 1.3598,                 1.3881,                0.83945,                 1.3711,               0.001001,               0.001001,               0.001001
                      8,                 1.2857,                0.75941,                 1.2795,                 1.4166,                0.88778,                 1.2879,                0.91485,                0.53906,                    0.6,                0.38971,                 1.2477,                0.72027,                 1.3295,                 1.3178,                0.75455,                  1.338,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.2852,                0.75499,                 1.2851,                 1.4273,                0.87284,                 1.2914,                0.92691,                0.56665,                 0.6197,                0.40482,                 1.2132,                0.65281,                 1.2973,                 1.2804,                 0.6795,                 1.3099,             0.00095702,             0.00095702,             0.00095702
                     10,                 1.2622,                0.73804,                 1.2641,                 1.4025,                0.85139,                 1.2704,                0.93208,                0.56458,                0.61647,                 0.4019,                 1.2328,                0.66197,                 1.3106,                 1.3005,                0.68735,                 1.3168,             0.00093502,             0.00093502,             0.00093502
