                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5066,                 4.5867,                 3.7337,                  3.263,                 8.4276,                 3.7879,                0.00247,                0.20228,                0.00896,                0.00273,                 2.8842,                  3.715,                 3.0488,                 2.5358,                 4.7444,                 2.8762,             0.00036913,             0.00036913,             0.00036913
                      2,                 2.9375,                 3.6833,                 2.9484,                  2.669,                 4.5004,                 2.7437,                0.76227,                 0.0161,                0.02308,                0.00751,                 2.6797,                 3.3928,                 2.6945,                 2.3788,                 3.9809,                 2.5057,             0.00072482,             0.00072482,             0.00072482
                      3,                 2.8249,                 3.4562,                 2.7679,                 2.5617,                 4.0137,                 2.5122,                0.76749,                0.03126,                0.03341,                0.01102,                  2.628,                 3.2268,                  2.673,                 2.3284,                 3.7468,                 2.3391,              0.0010658,              0.0010658,              0.0010658
                      4,                 2.7413,                 3.3303,                  2.632,                 2.5374,                 3.8285,                  2.433,                0.19989,                0.06024,                0.03792,                0.01252,                 2.5347,                  3.072,                 2.5003,                 2.3901,                 3.6413,                 2.3008,               0.001045,               0.001045,               0.001045
                      5,                 2.6521,                 3.2173,                 2.5274,                 2.4787,                 3.7161,                 2.2855,                0.48546,                0.06951,                0.04686,                 0.0161,                 2.4992,                 3.0208,                 2.4228,                  2.299,                 3.5391,                  2.165,               0.001045,               0.001045,               0.001045
                      6,                  2.614,                 3.1424,                 2.4587,                 2.4552,                 3.6429,                 2.2144,                0.55717,                0.06009,                0.05618,                0.01937,                 2.4409,                 2.9758,                 2.3862,                 2.3137,                 3.4938,                 2.1622,               0.001023,               0.001023,               0.001023
                      7,                 2.5811,                 3.0965,                 2.4257,                  2.436,                 3.6043,                 2.1526,                0.51915,                0.07475,                0.06367,                0.02249,                 2.4088,                 2.9466,                 2.3116,                 2.2495,                 3.4125,                  2.056,               0.001001,               0.001001,               0.001001
                      8,                 2.5356,                 3.0468,                 2.3903,                 2.4059,                 3.5527,                 2.1038,                0.52438,                0.07904,                 0.0667,                0.02362,                 2.3725,                 2.9073,                 2.2824,                 2.2352,                 3.3743,                 2.0406,             0.00097901,             0.00097901,             0.00097901
                      9,                 2.5449,                 3.0169,                 2.3714,                 2.3978,                 3.5229,                 2.0845,                0.57261,                0.08183,                0.06915,                0.02461,                 2.3419,                 2.8473,                 2.2934,                 2.2346,                  3.382,                 2.0485,             0.00095702,             0.00095702,             0.00095702
                     10,                 2.4946,                 2.9647,                 2.3234,                  2.377,                 3.4832,                 2.0415,                0.54462,                0.07136,                0.07062,                0.02604,                 2.3403,                 2.8403,                 2.2481,                 2.2022,                 3.3376,                  1.963,             0.00093502,             0.00093502,             0.00093502
                     11,                 2.4923,                 2.9474,                 2.3228,                  2.372,                 3.4571,                 2.0211,                0.51505,                0.09424,                 0.0729,                0.02641,                   2.32,                 2.8358,                 2.2601,                 2.1942,                 3.3452,                  1.958,             0.00091302,             0.00091302,             0.00091302
                     12,                 2.4803,                 2.9248,                 2.2942,                 2.3501,                 3.4211,                 1.9981,                0.51811,                0.09827,                0.07958,                0.02922,                 2.2906,                 2.7654,                 2.1837,                 2.2273,                 3.2844,                 1.9611,             0.00089102,             0.00089102,             0.00089102
                     13,                 2.4429,                 2.8678,                  2.233,                 2.3389,                 3.3534,                 1.9571,                0.50496,                0.11605,                0.08365,                0.03105,                 2.2992,                 2.7085,                  2.134,                 2.1399,                 3.2246,                 1.8343,             0.00086902,             0.00086902,             0.00086902
